0.047886, 0.031666, 0.025848, 0.031258, 0.026033
0.343060, 0.273788, 0.279641, 0.274409, 0.282278
0.304092, 0.275948, 0.274172, 0.280633, 0.273117
0.333619, 0.281313, 0.269276, 0.283550, 0.283660
0.319858, 0.277139, 0.275672, 0.276908, 0.276374
0.313118, 0.288836, 0.298182, 0.279479, 0.281746
0.311772, 0.297302, 0.284900, 0.287314, 0.277866
0.319371, 0.296316, 0.289169, 0.299341, 0.337732
0.335580, 0.317184, 0.317132, 0.326038, 0.309274
0.322136, 0.330756, 0.328493, 0.349713, 0.325440
0.317437, 0.323424, 0.332909, 0.309619, 0.307297
0.334580, 0.328985, 0.326717, 0.332499, 0.344748
0.335419, 0.333140, 0.315432, 0.338163, 0.325180
0.322427, 0.353644, 0.340212, 0.330129, 0.328538
0.330753, 0.337131, 0.338534, 0.363328, 0.341191
0.357295, 0.343886, 0.352754, 0.357601, 0.341113
